214	0.322105 0.329037 0.226489 0.122369 
215	0.275723 0.314648 0.329067 0.0805626 
216	0.315191 0.330444 0.209748 0.144617 
217	0.312678 0.330103 0.254906 0.102313 
218	0.255573 0.315691 0.315308 0.113428 
219	0.310634 0.329707 0.223243 0.136416 
220	0.171112 0.331491 0.332106 0.165291 
221	0.325801 0.326473 0.311097 0.0366289 
222	0.282481 0.329514 0.317805 0.0701999 
223	0.295238 0.330221 0.291942 0.0825993 
224	0.250281 0.333103 0.327664 0.0889524 
225	0.283781 0.325327 0.226928 0.163964 
226	0.161588 0.331479 0.321504 0.185429 
227	0.257056 0.322858 0.265915 0.154172 
228	0.291448 0.328448 0.246536 0.133568 
229	0.315046 0.331124 0.217473 0.136358 
230	0.320536 0.331033 0.214826 0.133606 
231	0.312675 0.329772 0.265329 0.0922245 
232	0.333217 0.332024 0.230567 0.104193 
233	0.33241 0.329818 0.23815 0.099622 
234	0.330067 0.330858 0.26304 0.0760347 
235	0.168959 0.325627 0.319916 0.185498 
236	0.229889 0.313548 0.330174 0.126389 
237	0.234808 0.327423 0.314609 0.12316 
238	0.247747 0.319209 0.309774 0.123269 
239	0.301142 0.33127 0.315895 0.0516924 
240	0.331319 0.332945 0.219026 0.11671 
241	0.165353 0.330066 0.331369 0.173212 
242	0.214369 0.321887 0.327468 0.136276 
243	0.187207 0.317061 0.329291 0.166442 
244	0.157473 0.315511 0.329191 0.197825 
245	0.31594 0.325353 0.318795 0.039911 
246	0.255494 0.331799 0.330804 0.081903 
247	0.302908 0.330159 0.280334 0.0865982 
248	0.285311 0.0617945 0.328526 0.324369 
249	0.170745 0.313039 0.199352 0.316864 
250	0.314524 0.0414102 0.330377 0.313689 
251	0.118532 0.332006 0.333037 0.216425 
252	0.179795 0.16618 0.325798 0.328226 
253	0.310978 0.328968 0.328158 0.0318959 
254	0.161557 0.318353 0.316224 0.203866 
255	0.326979 0.0170027 0.326376 0.329642 
256	0.324844 0.150028 0.323405 0.201723 
257	0.253093 0.314922 0.320857 0.111128 
258	0.302625 0.0408947 0.33224 0.324241 
259	0.301421 0.063325 0.32037 0.314885 
260	0.298615 0.0418509 0.330948 0.328586 
261	0.300759 0.320552 0.297689 0.0809993 
262	0.326844 0.214671 0.309855 0.14863 
263	0.30688 0.330364 0.325954 0.0368013 
264	0.329451 0.332406 0.220423 0.11772 
265	0.298341 0.331931 0.329388 0.0403398 
266	0.27727 0.0631926 0.329394 0.330143 
267	0.330787 0.00418746 0.33244 0.332585 
268	0.164381 0.297964 0.329876 0.207779 
269	0.312806 0.0598699 0.307006 0.320318 
270	0.145183 0.200931 0.324772 0.329114 
271	0.251915 0.10345 0.328631 0.316004 
272	0.248028 0.0899042 0.331245 0.330823 
273	0.226061 0.202947 0.311166 0.259826 
274	0.15954 0.227659 0.322476 0.290325 
275	0.332831 0.322001 0.329445 0.0157226 
276	0.244038 0.101185 0.325627 0.32915 
277	0.316012 0.325638 0.312424 0.0459261 
278	0.247659 0.1393 0.32805 0.28499 
279	0.269841 0.188609 0.256545 0.285005 
280	0.1372 0.319585 0.291704 0.251511 
281	0.114898 0.282348 0.320721 0.282033 
282	0.32299 0.0933219 0.252726 0.330962 
283	0.274326 0.06373 0.329126 0.332818 
284	0.315672 0.328044 0.320634 0.0356504 
285	0.192025 0.174937 0.329468 0.30357 
286	0.230802 0.157872 0.307375 0.303952 
287	0.326824 0.246016 0.310749 0.116411 
288	0.233722 0.109259 0.331188 0.325831 
289	0.313859 0.0281212 0.330859 0.32716 
290	0.302225 0.0544936 0.325617 0.317664 
291	0.330863 0.0204975 0.326012 0.322628 
292	0.30269 0.0582906 0.312078 0.326941 
293	0.327139 0.0127204 0.33092 0.32922 
294	0.164337 0.327671 0.313325 0.194667 
295	0.291276 0.0683522 0.321208 0.319163 
296	0.252932 0.086036 0.330982 0.33005 
297	0.276061 0.0666173 0.327247 0.330075 
298	0.213876 0.170263 0.323981 0.29188 
299	0.319207 0.0194174 0.332595 0.328781 
300	0.290935 0.0618264 0.329679 0.31756 
301	0.237808 0.331077 0.316034 0.11508 
302	0.25614 0.12931 0.314221 0.300329 
303	0.298479 0.325862 0.31986 0.0557993 
304	0.206068 0.328542 0.330388 0.135002 
305	0.240044 0.304217 0.323743 0.131996 
306	0.287144 0.268601 0.263984 0.180271 
307	0.286568 0.0815854 0.326694 0.305152 
308	0.155201 0.233268 0.324114 0.287417 
309	0.148957 0.327293 0.333213 0.190537 
310	0.146352 0.317722 0.323718 0.212207 
311	0.256899 0.105642 0.329993 0.307466 
312	0.285416 0.0693838 0.32838 0.316821 
313	0.158267 0.32993 0.330494 0.181308 
314	0.268983 0.324604 0.332255 0.0741584 
315	0.179244 0.308407 0.324461 0.187887 
316	0.304883 0.0373514 0.330453 0.327312 
317	0.132985 0.286191 0.321616 0.259207 
318	0.186579 0.15745 0.327835 0.328136 
319	0.124359 0.318963 0.323176 0.233502 
320	0.225457 0.166974 0.326265 0.281304 
321	0.331647 0.0118387 0.326968 0.329546 
322	0.326191 0.021456 0.323546 0.328807 
323	0.292591 0.0536257 0.323463 0.33032 
324	0.309682 0.0737723 0.301618 0.314928 
325	0.297106 0.314397 0.306444 0.0820531 
326	0.306444 0.0531442 0.329204 0.311208 
327	0.280043 0.0778588 0.31329 0.328808 
328	0.231627 0.106389 0.332733 0.329251 
329	0.329258 0.326262 0.288913 0.0555664 
330	0.232142 0.311886 0.327079 0.128893 
331	0.0921617 0.32497 0.321445 0.261423 
332	0.310109 0.03175 0.330277 0.327864 
333	0.233645 0.140447 0.323862 0.302046 
334	0.320537 0.0255995 0.330438 0.323426 
335	0.28168 0.0677073 0.327596 0.323017 
336	0.0919153 0.321793 0.325376 0.260915 
337	0.256261 0.135637 0.318452 0.289649 
338	0.130957 0.250951 0.318481 0.299611 
339	0.323173 0.0142846 0.329784 0.332759 
340	0.30901 0.317853 0.323862 0.0492746 
341	0.202148 0.20469 0.329125 0.264037 
342	0.25039 0.134925 0.315445 0.29924 
343	0.277104 0.084536 0.322063 0.316297 
344	0.182822 0.300174 0.322426 0.194578 
345	0.140138 0.276005 0.323535 0.260322 
346	0.328053 0.0213447 0.324052 0.32655 
347	0.258388 0.0901968 0.329104 0.32231 
348	0.27191 0.115535 0.315823 0.296732 
349	0.32008 0.0171171 0.331772 0.331031 
350	0.218517 0.124584 0.332869 0.32403 
351	0.233795 0.113822 0.328051 0.324331 
352	0.282113 0.100288 0.313421 0.304179 
353	0.327917 0.027833 0.321752 0.322498 
354	0.273783 0.0624495 0.330928 0.33284 
355	0.185818 0.193181 0.323424 0.297577 
356	0.13788 0.311169 0.320886 0.230065 
357	0.315941 0.0375879 0.323136 0.323335 
358	0.260304 0.124148 0.325072 0.290476 
359	0.323895 0.0172326 0.332309 0.326564 
360	0.256325 0.0987549 0.33037 0.31455 
361	0.154053 0.242773 0.321889 0.281286 
362	0.308159 0.329761 0.225861 0.13622 
363	0.306896 0.329964 0.20905 0.15409 
364	0.295247 0.0436504 0.331961 0.329141 
365	0.251288 0.0954142 0.322832 0.330466 
366	0.315446 0.0232396 0.330321 0.330992 
367	0.226632 0.328069 0.333224 0.112074 
368	0.314649 0.0501492 0.31015 0.325052 
369	0.27661 0.15804 0.243003 0.322346 
370	0.222788 0.330388 0.332184 0.11464 
371	0.231642 0.107831 0.329604 0.330923 
372	0.147149 0.245048 0.323943 0.28386 
373	0.129884 0.328459 0.327318 0.214338 
374	0.311538 0.330353 0.235001 0.123109 
375	0.244228 0.108114 0.317323 0.330335 
376	0.280188 0.0643294 0.323205 0.332278 
377	0.333008 0.331705 0.264119 0.071168 
378	0.289617 0.0489322 0.331795 0.329656 
379	0.234327 0.125194 0.310188 0.330292 
380	0.289679 0.0497079 0.333158 0.327455 
381	0.28412 0.0694276 0.322695 0.323758 
382	0.135461 0.328123 0.324332 0.212084 
383	0.237489 0.155826 0.276248 0.330437 
384	0.33104 0.0955064 0.250838 0.322616 
385	0.281939 0.0613226 0.32995 0.326788 
386	0.268601 0.125772 0.275752 0.329875 
387	0.229224 0.113819 0.327463 0.329494 
388	0.277938 0.0652076 0.332664 0.324191 
389	0.28311 0.138235 0.25519 0.323464 
390	0.320163 0.0640029 0.283823 0.332011 
391	0.297534 0.123102 0.25465 0.324714 
392	0.225553 0.11321 0.331194 0.330043 
393	0.232433 0.151223 0.28575 0.330593 
394	0.236137 0.135217 0.298404 0.330243 
